,Date,Site_Ni,wind,Fractionburned,Fire_intensity,AB,ROS_front,fuel_moisture
3,1992/1/1,76.70523879826442,3.2487272804563347,0.0,0.0,0.0,0.0,0.3840305192114276
3,1992/1/2,183.8656871286512,4.252531085658297,0.0,0.0,0.0,0.0,0.2990083604251094
3,1992/1/3,0.0,3.3869363609378778,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/4,30.16617047701276,2.533282028909104,0.0,0.0,0.0,0.0,0.43504807093170683
3,1992/1/5,0.0,5.85715392957572,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/6,0.0,5.566233906959798,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/7,0.0,3.734812610363477,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/8,37.85841331616317,4.2577933556228595,0.0,0.0,0.0,0.0,0.42589191697178097
3,1992/1/9,136.96233391096095,3.980304463175099,0.0,0.0,0.0,0.0,0.33148958478435814
3,1992/1/10,302.29882036727076,3.5083224308213965,0.0,0.0,0.0,0.0,0.24067230263834377
3,1992/1/11,447.9240467257444,3.9895248043890397,0.0,0.0,0.0,0.0,0.1988735367280903
3,1992/1/12,517.2991207728472,4.143278840812955,0.0,0.0,0.0,0.0,0.18602368817012313
3,1992/1/13,612.0738921030519,2.5296005935813604,0.0,0.0,0.0,0.0,0.17311478557048585
3,1992/1/14,720.7450244554365,3.3233605697235533,0.0,0.0,0.0,0.0,0.16278244026910438
3,1992/1/15,861.0966064443169,5.094754896698618,5.6552826788954354e-09,1.9218529641078923e-07,0.005655282678895436,0.13045864500723053,0.15378220434586254
3,1992/1/16,1022.40391812088,3.4413884799354637,4.678737668590595e-08,3.5087362842488438e-06,0.04678737668590595,0.2847339534570667,0.1468602756468587
3,1992/1/17,1181.9654315961527,2.496634025991835,1.1800890768807971e-07,1.1416399545161938e-05,0.11800890768807971,0.3635513156093478,0.14193360126281995
3,1992/1/18,1280.8500571002448,4.052813068547951,1.2322174986838914e-07,1.5122994901728834e-05,0.12322174986838914,0.45841436477709674,0.1394281497612836
