,Date,Site_Ni,wind,Fractionburned,Fire_intensity,AB,ROS_front,fuel_moisture
3,1992/1/1,76.70523879826442,3.2487272804563347,0.0,0.0,0.0,0.0,0.3637956613001582
3,1992/1/2,183.8656871286512,4.252531085658297,0.0,0.0,0.0,0.0,0.27015760861205756
3,1992/1/3,0.0,3.3869363609378778,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/4,30.16617047701276,2.533282028909104,0.0,0.0,0.0,0.0,0.42504578133036003
3,1992/1/5,0.0,5.85715392957572,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/6,0.0,5.566233906959798,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/7,0.0,3.734812610363477,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/8,37.85841331616317,4.2577933556228595,0.0,0.0,0.0,0.0,0.41380593592118137
3,1992/1/9,136.96233391096095,3.980304463175099,0.0,0.0,0.0,0.0,0.3045481890744275
3,1992/1/10,302.29882036727076,3.5083224308213965,0.0,0.0,0.0,0.0,0.21353367232846587
3,1992/1/11,447.9240467257444,3.9895248043890397,0.0,0.0,0.0,0.0,0.17791299900300578
3,1992/1/12,517.2991207728472,4.143278840812955,0.0,0.0,0.0,0.0,0.16792845555592625
3,1992/1/13,612.0738921030519,2.5296005935813604,0.0,0.0,0.0,0.0,0.15833462765270245
3,1992/1/14,720.7450244554365,3.3233605697235533,4.454904801462263e-08,2.8680051858471333e-06,0.04454904801462263,0.24609955077810178,0.15085892404056314
3,1992/1/15,861.0966064443169,5.094754896698618,1.2336082116635677e-07,1.5799713746156307e-05,0.12336082116635676,0.4837799620064146,0.1442540352157509
3,1992/1/16,1022.40391812088,3.4413884799354637,2.9918051351348335e-07,4.705704324149578e-05,0.29918051351348335,0.586540589994328,0.13879920116328287
3,1992/1/17,1181.9654315961527,2.496634025991835,5.414603547189754e-07,9.545502025131485e-05,0.5414603547189755,0.6496833464073255,0.13449753514843724
3,1992/1/18,1280.8500571002448,4.052813068547951,4.776177707491733e-07,9.965412382170323e-05,0.4776177707491733,0.7636025661161013,0.13213630963910308
3,1992/1/19,1390.5263306469608,4.357500559340782,5.399837680115244e-07,0.00012310973833523897,0.5399837680115244,0.8282359939754129,0.12969761896798235
