,Date,Site_Ni,wind,Fractionburned,Fire_intensity,AB,ROS_front,fuel_moisture
3,1992/1/1,76.70523879826442,3.2487272804563347,0.0,0.0,0.0,0.0,0.36148703292779655
3,1992/1/2,183.8656871286512,4.252531085658297,0.0,0.0,0.0,0.0,0.2670920878819474
3,1992/1/3,0.0,3.3869363609378778,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/4,30.16617047701276,2.533282028909104,0.0,0.0,0.0,0.0,0.4238681325439898
3,1992/1/5,0.0,5.85715392957572,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/6,0.0,5.566233906959798,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/7,0.0,3.734812610363477,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/8,37.85841331616317,4.2577933556228595,0.0,0.0,0.0,0.0,0.4123903532611575
3,1992/1/9,136.96233391096095,3.980304463175099,0.0,0.0,0.0,0.0,0.30159589913887014
3,1992/1/10,302.29882036727076,3.5083224308213965,0.0,0.0,0.0,0.0,0.21085504477392583
3,1992/1/11,447.9240467257444,3.9895248043890397,0.0,0.0,0.0,0.0,0.1759931761387442
3,1992/1/12,517.2991207728472,4.143278840812955,0.0,0.0,0.0,0.0,0.1663124291464066
3,1992/1/13,612.0738921030519,2.5296005935813604,1.2934826084289253e-09,1.0515388202190419e-08,0.0012934826084289254,0.03133712707067216,0.15704029605945283
3,1992/1/14,720.7450244554365,3.3233605697235533,6.378807835707045e-08,3.9619006685778065e-06,0.06378807835707045,0.2370357831075017,0.14981332876361533
3,1992/1/15,861.0966064443169,5.094754896698618,1.629263825347161e-07,1.9196922133284408e-05,0.16292638253471609,0.4442344093990447,0.14338883136683808
3,1992/1/16,1022.40391812088,3.4413884799354637,3.683181604247061e-07,5.106367174517144e-05,0.36831816042470605,0.515950698634978,0.13802045474273628
3,1992/1/17,1181.9654315961527,2.496634025991835,6.443808621458463e-07,9.777045880650122e-05,0.6443808621458463,0.557925538745704,0.1337380012521841
3,1992/1/18,1280.8500571002448,4.052813068547951,5.996131406377281e-07,0.00011015070521423744,0.5996131406377281,0.6707663173277946,0.1313720881176237
3,1992/1/19,1390.5263306469608,4.357500559340782,6.86510654702641e-07,0.00013809436530631017,0.6865106547026409,0.7290109605058264,0.12892066597772
3,1992/1/20,1500.9272805584424,2.1648760385064634,1.139739701753602e-06,0.00020677865913037866,1.139739701753602,0.6531055172670135,0.12659400046285255
3,1992/1/21,1606.9123200903127,2.112087280661525,1.3011839380622024e-06,0.00024698713017362405,1.3011839380622023,0.6792328580772599,0.12446818817836149
3,1992/1/22,1722.8568052559783,2.7901871801634326,1.268848760514722e-06,0.00026727104937027146,1.2688487605147218,0.7489698596536666,0.12224505321855939
3,1992/1/23,1913.8369488494525,3.2275932837890413,1.3763593355753576e-06,0.0003205683208252563,1.3763593355753576,0.8198701569419315,0.11878241452537323
3,1992/1/24,2170.3962718898,2.5846910793128544,1.8364957194568143e-06,0.0004377239976738294,1.8364957194568143,0.8285874784652638,0.11446051496566521
3,1992/1/25,2435.4429749158535,2.6450186782012657,2.0809650482382398e-06,0.0005279962531620264,2.0809650482382396,0.8740697963815819,0.11032867751144441
3,1992/1/26,2613.1775096911074,2.1805990677936364,2.4734670785287484e-06,0.0006237879096778575,2.4734670785287483,0.8637280212292866,0.10772090239478795
3,1992/1/27,2754.104060002218,2.817561870393724,2.287858257858619e-06,0.0006222830340984589,2.287858257858619,0.9273787336251013,0.10573605489007692
3,1992/1/28,2938.0502528909215,2.604052719913066,2.5339913638020004e-06,0.0006963294694540543,2.5339913638020004,0.931629156356476,0.10324593193786587
3,1992/1/29,3147.468428837628,4.231350142908444,2.084695385692671e-06,0.0006627959590092965,2.084695385692671,1.0711896103782044,0.10053761378485215
3,1992/1/30,3394.287663686519,3.0585507344631147,2.621499440599405e-06,0.0007897083250254148,2.621499440599405,1.007836407478412,0.09750188396039432
3,1992/1/31,3627.1964319660647,2.800460918242718,2.88506533383704e-06,0.0008727463761398498,2.8850653338370402,1.0056436901580583,0.09477722879599289
3,1992/2/1,3785.140518157178,2.9060861863296585,2.9124386347974544e-06,0.0009017170797684876,2.9124386347974545,1.024982759051336,0.09300032468706498
3,1992/2/2,3877.125066918847,4.358135200068545,2.396807141887819e-06,0.0008291029420376401,2.3968071418878187,1.1424780628053965,0.09199022327185125
3,1992/2/3,4050.5663470873214,3.8080746766825913,2.6347949727720012e-06,0.0008916480781767855,2.634794972772001,1.1128075116081035,0.0901326452235104
3,1992/2/4,4253.846641119485,3.0492119549669274,3.0541807969942533e-06,0.0009944471365206922,3.0541807969942534,1.0653809070275702,0.08802949274368446
3,1992/2/5,0.0,3.616703058845392,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/6,0.0,4.7277061116711305,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/7,0.0,3.875974045844015,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/8,35.439588135590256,1.8363929053315164,0.0,0.0,0.0,0.0,0.41594566959370677
3,1992/2/9,0.0,4.987242675401052,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/10,0.0,6.206340068825235,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/11,0.0,4.860102394984309,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/12,0.0,6.052952902761189,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/13,0.0,5.219189374781606,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/14,0.0,3.7457147713679,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/15,0.0,5.1656981254575705,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/16,26.097424403984277,4.508990913504717,0.0,0.0,0.0,0.0,0.4301450031462798
3,1992/2/17,59.942515319596666,2.06365184609563,0.0,0.0,0.0,0.0,0.38208830179989883
3,1992/2/18,120.03394847085072,1.8527175003152287,0.0,0.0,0.0,0.0,0.3164321053582603
3,1992/2/19,196.500898830496,2.2194390419152867,0.0,0.0,0.0,0.0,0.2592280541378651
3,1992/2/20,262.9928616448967,2.6258037574514494,0.0,0.0,0.0,0.0,0.22570784897452953
3,1992/2/21,334.12710926940025,2.6796791869937984,0.0,0.0,0.0,0.0,0.20089165651350746
3,1992/2/22,441.0548399244835,3.6326680267994393,0.0,0.0,0.0,0.0,0.17713313373632883
3,1992/2/23,582.3953926341998,5.8205074248040924,0.0,0.0,0.0,0.0,0.15956696459948044
3,1992/2/24,826.2028281907373,4.61475038396064,1.391904660470553e-07,1.4569589550937456e-05,0.1391904660470553,0.39581205983458756,0.14478152428155613
3,1992/2/25,1090.8883473899984,3.596474320673187,4.327919845004165e-07,6.557713411675207e-05,0.43279198450041645,0.5609359585966087,0.13609481680860128
3,1992/2/26,1320.434464520111,4.529455832538073,6.067348112574853e-07,0.00011812385951788304,0.6067348112574853,0.7089319169449119,0.13046893701436418
3,1992/2/27,1574.7473866059713,3.2053760260240645,1.013471876476522e-06,0.00020705291854196414,1.013471876476522,0.7323757798986635,0.1251032543182604
3,1992/2/28,1814.8041830493164,2.2256519291663457,1.5445218514909225e-06,0.00032131015902709656,1.5445218514909225,0.7360769288086879,0.12054913478465672
3,1992/2/29,2035.2879510550717,3.023783693796497,1.5533159138881456e-06,0.0003695997838630647,1.5533159138881456,0.832459768116308,0.11669320926865134
3,1992/3/1,2142.343095932814,4.046981485705026,1.425457719064954e-06,0.00037574310264126083,1.425457719064954,0.9172651019896269,0.1149166076715013
3,1992/3/2,0.0,6.942108303280519,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/3,33.57082388039929,3.8209605568112908,0.0,0.0,0.0,0.0,0.4187260934463014
3,1992/3/4,75.60359795322569,3.526816830882399,0.0,0.0,0.0,0.0,0.3627819019950974
3,1992/3/5,0.0,2.8861433116001938,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/6,0.0,3.0700199732572817,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/7,0.0,3.4057041267497463,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/8,32.90336871014588,3.924405538128663,0.0,0.0,0.0,0.0,0.4197263310465978
3,1992/3/9,73.77665798816847,2.681394993577856,0.0,0.0,0.0,0.0,0.36494710891355925
3,1992/3/10,130.47805666414268,2.828011522758961,0.0,0.0,0.0,0.0,0.30711366445504695
3,1992/3/11,236.58982748048683,3.155035395393833,0.0,0.0,0.0,0.0,0.2375917624590233
3,1992/3/12,385.8660098168271,2.0586521824117296,0.0,0.0,0.0,0.0,0.187812673041241
3,1992/3/13,512.4794823940908,2.173684026724706,0.0,0.0,0.0,0.0,0.16689090064944284
3,1992/3/14,617.0179736506891,2.4357173377940127,2.4352388568375238e-09,2.6627089259826082e-08,0.002435238856837524,0.04212827531929779,0.1566469596705848
3,1992/3/15,699.6836522017982,3.1154872223147456,4.841617138079227e-08,2.557586032057366e-06,0.048416171380792274,0.20198226970880684,0.15101453540758752
3,1992/3/16,761.7717955452538,3.9762014379876143,9.152833032254066e-08,7.3538858943371385e-06,0.09152833032254067,0.3055140704241298,0.14768209224153162
3,1992/3/17,820.8413502310664,4.183327111851473,1.4088118526603903e-07,1.4124573097430471e-05,0.14088118526603904,0.37929049211536514,0.1450054887661886
3,1992/3/18,886.5651447526388,2.25710124875382,2.78439205048063e-07,2.835588643100367e-05,0.278439205048063,0.3831460284301105,0.14243596485044505
3,1992/3/19,954.7636319320186,3.868001161819128,2.7787052348067095e-07,3.613061154936525e-05,0.27787052348067093,0.4864879467704625,0.1400988379722583
