,Date,Site_Ni,wind,Fractionburned,Fire_intensity,AB,ROS_front,fuel_moisture
3,1992/1/1,76.70523879826442,3.2487272804563347,0.0,0.0,0.0,0.0,0.45293027386117746
3,1992/1/2,183.8656871286512,4.252531085658297,0.0,0.0,0.0,0.0,0.4257505229976526
3,1992/1/3,0.0,3.3869363609378778,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/4,30.16617047701276,2.533282028909104,0.0,0.0,0.0,0.0,0.46557126322204123
3,1992/1/5,0.0,5.85715392957572,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/6,0.0,5.566233906959798,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/7,0.0,3.734812610363477,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/1/8,37.85841331616317,4.2577933556228595,0.0,0.0,0.0,0.0,0.4634453451538748
3,1992/1/9,136.96233391096095,3.980304463175099,0.0,0.0,0.0,0.0,0.43732685722263775
3,1992/1/10,302.29882036727076,3.5083224308213965,0.0,0.0,0.0,0.0,0.3985904326734689
3,1992/1/11,447.9240467257444,3.9895248043890397,0.0,0.0,0.0,0.0,0.36889584351405424
3,1992/1/12,517.2991207728472,4.143278840812955,0.0,0.0,0.0,0.0,0.3560460777657814
3,1992/1/13,612.0738921030519,2.5296005935813604,0.0,0.0,0.0,0.0,0.33972188028206457
3,1992/1/14,720.7450244554365,3.3233605697235533,0.0,0.0,0.0,0.0,0.3226133755238232
3,1992/1/15,861.0966064443169,5.094754896698618,0.0,0.0,0.0,0.0,0.302809335665153
3,1992/1/16,1022.40391812088,3.4413884799354637,0.0,0.0,0.0,0.0,0.28286632602869183
3,1992/1/17,1181.9654315961527,2.496634025991835,0.0,0.0,0.0,0.0,0.26571663375967164
3,1992/1/18,1280.8500571002448,4.052813068547951,0.0,0.0,0.0,0.0,0.25622030466820983
3,1992/1/19,1390.5263306469608,4.357500559340782,0.0,0.0,0.0,0.0,0.2465930650621644
3,1992/1/20,1500.9272805584424,2.1648760385064634,0.0,0.0,0.0,0.0,0.23777529621854435
3,1992/1/21,1606.9123200903127,2.112087280661525,0.0,0.0,0.0,0.0,0.23005668268385351
3,1992/1/22,1722.8568052559783,2.7901871801634326,0.0,0.0,0.0,0.0,0.22237001621936758
3,1992/1/23,1913.8369488494525,3.2275932837890413,0.0,0.0,0.0,0.0,0.21123220063073764
3,1992/1/24,2170.3962718898,2.5846910793128544,0.0,0.0,0.0,0.0,0.19879070959560266
3,1992/1/25,2435.4429749158535,2.6450186782012657,0.0,0.0,0.0,0.0,0.1883879599048366
3,1992/1/26,2613.1775096911074,2.1805990677936364,0.0,0.0,0.0,0.0,0.18254039115703877
3,1992/1/27,2754.104060002218,2.817561870393724,0.0,0.0,0.0,0.0,0.17844311286967743
3,1992/1/28,2938.0502528909215,2.604052719913066,0.0,0.0,0.0,0.0,0.17371231169625292
3,1992/1/29,3147.468428837628,4.231350142908444,0.0,0.0,0.0,0.0,0.1690521429058676
3,1992/1/30,3394.287663686519,3.0585507344631147,0.0,0.0,0.0,0.0,0.16438006834925165
3,1992/1/31,3627.1964319660647,2.800460918242718,0.0,0.0,0.0,0.0,0.16063493656983402
3,1992/2/1,3785.140518157178,2.9060861863296585,0.0,0.0,0.0,0.0,0.15839855665412034
3,1992/2/2,3877.125066918847,4.358135200068545,2.605031861680256e-09,2.3084720023855682e-08,0.002605031861680256,0.03416523633192731,0.1571939908740586
3,1992/2/3,4050.5663470873214,3.8080746766825913,2.8885098698420102e-08,7.945659915947243e-07,0.0288850986984201,0.10578255155477807,0.15509591174355639
3,1992/2/4,4253.846641119485,3.0492119549669274,9.730715782696873e-08,4.385867490592976e-06,0.09730715782696873,0.17281502182703265,0.1528885398119753
3,1992/2/5,0.0,3.616703058845392,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/6,0.0,4.7277061116711305,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/7,0.0,3.875974045844015,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/8,35.439588135590256,1.8363929053315164,0.0,0.0,0.0,0.0,0.4641122603575587
3,1992/2/9,0.0,4.987242675401052,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/10,0.0,6.206340068825235,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/11,0.0,4.860102394984309,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/12,0.0,6.052952902761189,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/13,0.0,5.219189374781606,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/14,0.0,3.7457147713679,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/15,0.0,5.1656981254575705,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/2/16,26.097424403984277,4.508990913504717,0.0,0.0,0.0,0.0,0.46670169211908463
3,1992/2/17,59.942515319596666,2.06365184609563,0.0,0.0,0.0,0.0,0.45742275186642717
3,1992/2/18,120.03394847085072,1.8527175003152287,0.0,0.0,0.0,0.0,0.44162573776029423
3,1992/2/19,196.500898830496,2.2194390419152867,0.0,0.0,0.0,0.0,0.42271411814541165
3,1992/2/20,262.9928616448967,2.6258037574514494,0.0,0.0,0.0,0.0,0.4072879847492193
3,1992/2/21,334.12710926940025,2.6796791869937984,0.0,0.0,0.0,0.0,0.3917675250484832
3,1992/2/22,441.0548399244835,3.6326680267994393,0.0,0.0,0.0,0.0,0.37021178102248886
3,1992/2/23,582.3953926341998,5.8205074248040924,0.0,0.0,0.0,0.0,0.34468717502081037
3,1992/2/24,826.2028281907373,4.61475038396064,0.0,0.0,0.0,0.0,0.30750701889786586
3,1992/2/25,1090.8883473899984,3.596474320673187,0.0,0.0,0.0,0.0,0.27521318159954794
3,1992/2/26,1320.434464520111,4.529455832538073,0.0,0.0,0.0,0.0,0.2526403876101922
3,1992/2/27,1574.7473866059713,3.2053760260240645,0.0,0.0,0.0,0.0,0.23232613086023435
3,1992/2/28,1814.8041830493164,2.2256519291663457,0.0,0.0,0.0,0.0,0.21678572380259678
3,1992/2/29,2035.2879510550717,3.023783693796497,0.0,0.0,0.0,0.0,0.20501557815713756
3,1992/3/1,2142.343095932814,4.046981485705026,0.0,0.0,0.0,0.0,0.20002739113714066
3,1992/3/2,0.0,6.942108303280519,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/3,33.57082388039929,3.8209605568112908,0.0,0.0,0.0,0.0,0.4646285047036773
3,1992/3/4,75.60359795322569,3.526816830882399,0.0,0.0,0.0,0.0,0.4532234512548213
3,1992/3/5,0.0,2.8861433116001938,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/6,0.0,3.0700199732572817,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/7,0.0,3.4057041267497463,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/8,32.90336871014588,3.924405538128663,0.0,0.0,0.0,0.0,0.4648130982870612
3,1992/3/9,73.77665798816847,2.681394993577856,0.0,0.0,0.0,0.0,0.4537102892483696
3,1992/3/10,130.47805666414268,2.828011522758961,0.0,0.0,0.0,0.0,0.43896581671498647
3,1992/3/11,236.58982748048683,3.155035395393833,0.0,0.0,0.0,0.0,0.4133040644470714
3,1992/3/12,385.8660098168271,2.0586521824117296,0.0,0.0,0.0,0.0,0.3810811618599534
3,1992/3/13,512.4794823940908,2.173684026724706,0.0,0.0,0.0,0.0,0.3569134289514549
3,1992/3/14,617.0179736506891,2.4357173377940127,0.0,0.0,0.0,0.0,0.3389073199059435
3,1992/3/15,699.6836522017982,3.1154872223147456,0.0,0.0,0.0,0.0,0.32580215639321175
3,1992/3/16,761.7717955452538,3.9762014379876143,0.0,0.0,0.0,0.0,0.31656922342239313
3,1992/3/17,820.8413502310664,4.183327111851473,0.0,0.0,0.0,0.0,0.30824167420772075
3,1992/3/18,886.5651447526388,2.25710124875382,0.0,0.0,0.0,0.0,0.2994702738908095
3,1992/3/19,954.7636319320186,3.868001161819128,0.0,0.0,0.0,0.0,0.2908876265905959
3,1992/3/20,0.0,5.633417366168954,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/21,0.0,4.856114566926894,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/22,0.0,5.142723365295966,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/23,0.0,4.521977174576113,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/24,58.551826683641494,2.2816909872348483,0.0,0.0,0.0,0.0,0.4577985021781966
3,1992/3/25,133.60395784347014,2.6869659272937643,0.0,0.0,0.0,0.0,0.4381745297502034
3,1992/3/26,0.0,2.9098059246852714,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/27,0.0,3.31474791417556,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/3/28,48.511285835526756,2.7661977496927808,0.0,0.0,0.0,0.0,0.46052529758199906
3,1992/3/29,105.32609306791281,2.413077287228473,0.0,0.0,0.0,0.0,0.4454139750923291
3,1992/3/30,159.0435382315814,2.774635880496881,0.0,0.0,0.0,0.0,0.4318164206358033
3,1992/3/31,0.0,2.22620967720811,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/4/1,0.0,2.973396081748417,0.0,0.0,0.0,0.0,0.47405130324713907
3,1992/4/2,74.96001020115845,2.3566907743544023,0.0,0.0,0.0,0.0,0.45339486186925365
3,1992/4/3,179.1290258489544,2.1624784757233284,0.0,0.0,0.0,0.0,0.42689767139628704
3,1992/4/4,281.9966376366158,3.3420591531561787,0.0,0.0,0.0,0.0,0.40304477573873954
3,1992/4/5,363.0554972102511,3.210716203423528,0.0,0.0,0.0,0.0,0.3857319099824966
3,1992/4/6,433.32474564550057,2.4916336412156443,0.0,0.0,0.0,0.0,0.37170227883996165
3,1992/4/7,520.7477595897469,1.699741063411231,0.0,0.0,0.0,0.0,0.35542772630231534
3,1992/4/8,637.1287910155537,2.126886675464166,0.0,0.0,0.0,0.0,0.33563043979549245
3,1992/4/9,759.7025380983716,2.7685307101849093,0.0,0.0,0.0,0.0,0.3168688669355524
3,1992/4/10,880.983847887401,2.5797238732103667,0.0,0.0,0.0,0.0,0.30019564141027866
3,1992/4/11,1005.1599582522676,2.767740837466853,0.0,0.0,0.0,0.0,0.2848664530128013
3,1992/4/12,1137.7265812805426,2.8890790355030043,0.0,0.0,0.0,0.0,0.2702356177038622
3,1992/4/13,1249.538147867959,3.8401379256942962,0.0,0.0,0.0,0.0,0.2591399589185555
3,1992/4/14,1325.5546913216879,3.96021879334836,0.0,0.0,0.0,0.0,0.2521861812837698
3,1992/4/15,1397.9897561455537,3.8525835206521895,0.0,0.0,0.0,0.0,0.24597033077365194
3,1992/4/16,1482.435061612046,3.1960140747728683,0.0,0.0,0.0,0.0,0.23919486198417172
3,1992/4/17,1601.6088675273013,3.9225339838993736,0.0,0.0,0.0,0.0,0.23042662657331361
3,1992/4/18,1730.7067747155747,4.053296280519084,0.0,0.0,0.0,0.0,0.2218762555057904
3,1992/4/19,1928.3350486902432,3.8221282659191202,0.0,0.0,0.0,0.0,0.21045687612443745
3,1992/4/20,2152.83929753041,2.9668517430516945,0.0,0.0,0.0,0.0,0.19956137761526344
3,1992/4/21,2373.2549954627357,3.85011834795327,0.0,0.0,0.0,0.0,0.19063474686975507
3,1992/4/22,2531.055478644991,3.728715865579504,0.0,0.0,0.0,0.0,0.1851415474621407
3,1992/4/23,2747.5896081329965,2.460589117427572,0.0,0.0,0.0,0.0,0.17862295098914543
3,1992/4/24,3035.3500977907893,2.035226932489028,0.0,0.0,0.0,0.0,0.1714589046564665
3,1992/4/25,3327.4626327865058,1.8157713939809723,0.0,0.0,0.0,0.0,0.16556714623315386
3,1992/4/26,3635.6103914484256,2.5325135766231157,0.0,0.0,0.0,0.0,0.16051005421286743
3,1992/4/27,3911.2172832656756,2.86948882872732,7.371137296788382e-09,8.86882700879032e-08,0.007371137296788382,0.046364347156916244,0.15676436890313478
3,1992/4/28,4208.6402729919255,2.6450270140168266,8.97964368378558e-08,3.6265444282767644e-06,0.08979643683785579,0.1549491190775183,0.15335812348757005
3,1992/4/29,4454.988686183763,3.2251349441524075,1.7069273144715034e-07,1.0490141543254263e-05,0.17069273144715033,0.23495448947008596,0.15093068650619773
3,1992/4/30,4646.87165082733,3.8199750608170433,2.242532927149273e-07,1.7253634882179234e-05,0.2242532927149273,0.29334712029516335,0.1492397938984701
3,1992/5/1,4804.906016829755,2.8997138847792456,3.4934617541942105e-07,2.9179626801692357e-05,0.34934617541942103,0.31776581818860306,0.14795803073102062
3,1992/5/2,5049.5017786141625,2.0229532169381352,5.955590421992162e-07,5.5279232358382146e-05,0.5955590421992162,0.3519351768835693,0.14614140865672928
3,1992/5/3,5275.584136840973,2.0734928632326137,7.260746924533369e-07,7.530622470690564e-05,0.7260746924533369,0.39205886037563975,0.14461426401088034
3,1992/5/4,5474.841024221767,2.0830658478238555,8.446038349615575e-07,9.482741928020224e-05,0.8446038349615574,0.4232863285505175,0.14336914238229057
3,1992/5/5,5601.967695674734,2.2370966882793497,8.805571110040534e-07,0.00010416801893712179,0.8805571110040534,0.44525251072399974,0.14261729484335
3,1992/5/6,5715.621436589606,2.1655658527300696,9.638101404678725e-07,0.00011775993978033219,0.9638101404678725,0.4591918001766941,0.14197010908538898
3,1992/5/7,5824.473442587706,2.6110583511893304,9.073211132082415e-07,0.00011712385840439143,0.9073211132082415,0.4844656496532256,0.14137046158887362
3,1992/5/8,5965.437024379555,2.931414601821788,9.012091887902688e-07,0.00012279391999070276,0.9012091887902689,0.5104436409130906,0.14062068627917246
3,1992/5/9,6097.2471709397105,3.0374725181470046,9.362132654162334e-07,0.00013251294253658542,0.9362132654162334,0.5293657863032406,0.13994443792710465
3,1992/5/10,6219.993721596324,2.894104616633528,1.0231914518302427e-06,0.000147998974333796,1.0231914518302427,0.5401394050061843,0.13933427097936996
3,1992/5/11,6322.25251739487,2.6356895807187657,1.139637378014332e-06,0.0001664510128846602,1.1396373780143318,0.5447176843582595,0.13883917264164444
3,1992/5/12,6414.126185147521,2.619087675076868,1.1870707324513861e-06,0.00017659133734466772,1.187070732451386,0.5541810150445132,0.13840386241212455
3,1992/5/13,6544.007285434456,2.56187920638449,1.2651944791232752e-06,0.0001925625235822635,1.2651944791232752,0.5660853744275516,0.13780270602897615
3,1992/5/14,6684.7471067363385,3.2016724500568436,1.1371663784886665e-06,0.0001832826700039345,1.1371663784886665,0.5984428101231829,0.1371686286500578
3,1992/5/15,6820.551636212312,3.304473161153457,1.1626552881340137e-06,0.00019283051486923447,1.1626552881340138,0.614809649881878,0.13657240480523808
3,1992/5/16,6974.711944159825,2.4753239680197296,1.4920899626323998e-06,0.00024383475440253893,1.4920899626323998,0.6046710359202193,0.13591253130211794
3,1992/5/17,7180.637199763268,2.5069608399539405,1.5695899706420883e-06,0.00026520938115649523,1.5695899706420882,0.6236904504371436,0.1350564247140914
3,1992/5/18,7392.347627044051,2.8091393743530118,1.5354054806581818e-06,0.0002714804675450501,1.5354054806581818,0.6510513816440721,0.13420322861212342
3,1992/5/19,7567.13731325187,3.993508156045624,1.2495612489208228e-06,0.0002388677522828516,1.2495612489208228,0.7024740858442186,0.13351722025825097
3,1992/5/20,7681.7637033061865,4.412412624881415,1.199341445007085e-06,0.00023686214156713324,1.199341445007085,0.7248003154681105,0.13307558383122656
3,1992/5/21,7795.8996292174215,3.417600667867488,1.4704769079595049e-06,0.0002819781659034775,1.4704769079595048,0.7028532618960305,0.13264188652416278
3,1992/5/22,7933.087471335294,2.2911223912202456,1.997599614367792e-06,0.00036854843385611294,1.997599614367792,0.6751931918762569,0.1321281126542402
3,1992/5/23,8106.987107848765,2.260529321078049,2.0888293237737883e-06,0.0003924874951967424,2.0888293237737883,0.6863247438302887,0.13148787458008615
3,1992/5/24,8284.092144698338,2.6881521222147144,1.9273672725670185e-06,0.00037734506128486045,1.9273672725670183,0.7137397954718507,0.13084759897151005
3,1992/5/25,8469.103243837986,2.5936512196967083,2.0448125498906e-06,0.0004061950139426505,2.0448125498906,0.7227335146836927,0.130190482276582
3,1992/5/26,8646.09352536012,3.0626833613975446,1.8789650939482147e-06,0.00038868650389131963,1.8789650939482148,0.751201189006343,0.12957229683910423
3,1992/5/27,8788.525145235808,2.6323288327077887,2.1404776064291018e-06,0.00043953737644944306,2.140477606429102,0.7445707935447008,0.1290817734296198
3,1992/5/28,8911.202634108917,2.7188536630306683,2.136134037734814e-06,0.0004455808010565341,2.136134037734814,0.7553697358190294,0.1286639988532345
3,1992/5/29,9045.620448048907,2.1971034355418,2.5133628870988836e-06,0.0005166978433654327,2.5133628870988836,0.7434214364122053,0.12821103386747298
3,1992/5/30,9212.590129961516,1.9995347862943345,2.730322944749645e-06,0.0005634603898539778,2.730322944749645,0.7450974305561339,0.12765504130469135
3,1992/5/31,9405.225284374135,2.3861636642537767,2.5164904889790763e-06,0.0005385830006805528,2.5164904889790765,0.7713634402869467,0.1270223153233604
3,1992/6/1,9606.217765775378,2.6034242242992707,2.442138612901711e-06,0.000536986305702935,2.4421386129017106,0.7910542272151175,0.12637159345017251
3,1992/6/2,9837.833849120947,2.8844287589780704,2.3465033188391224e-06,0.0005324664609685536,2.3465033188391224,0.8146749486479721,0.12563305797561317
