"","x"
"1",0
"2",0.0940959815726199
"3",0.000203176103552105
"4",42748.0826620013
"5",396.906607632991
"6",0.0833552643809057
"7",0.00013212061486789
"8",25958.2442273386
"9",310.040065390058
"10",0.182643963519763
"11",0.000181085534911836
"12",9076.66533021256
"13",510.839892900549
"14",0.150976961030645
"15",0.00023844014285598
"16",21461.0384101979
"17",429.490901541431
"18",0.15531028225066
"19",0.000237159211424878
"20",6071.45761884749
"21",643.802943162154
"22",0.00413977269194436
"23",0.000342463598849718
"24",35094.9071771465
"25",228.322460828349
"26",0.176801277019208
"27",0.000133324593756115
"28",47072.9657616466
"29",187.435691617429
"30",0.071572757017941
"31",0.000124203208416002
"32",9455.55661898106
"33",541.781687340699
"34",0.12228404700439
"35",8.74782124580815e-05
"36",10396.7851060443
"37",633.221719239373
"38",0.170957197739712
"39",0.000270135805498576
"40",36758.4435297176
"41",166.774833656382
"42",0.0554985294493889
"43",0.000238908537104726
"44",32260.1572014391
"45",64.3743641441688
"46",0.262666710303552
"47",0.000165646893372759
"48",30938.0987542681
"49",880.644067469984
"50",0.171727676499136
"51",4.82629466080107e-05
"52",6792.18903696164
"53",395.188681571744
"54",0.117393687786838
"55",0.000367149418601766
"56",41498.3984073624
"57",370.634219737258
"58",0.0980161090619418
"59",7.18544882105198e-05
"60",56662.8506672569
"61",705.511540709995
"62",0.23926286094738
"63",0.000250294183314545
"64",54163.0142843351
"65",78.351922321599
"66",0.173667840078857
"67",0.000109458156392211
"68",8060.84306398407
"69",732.556474488229
"70",0.030182872768479
"71",0.000298004669108195
"72",49400.052327197
"73",502.814384631347
"74",0.230379524333752
"75",0.000123221468426054
"76",31280.9975431301
"77",310.446366120595
"78",0.213395618369845
"79",0.000309578029609984
"80",27227.9574167915
"81",904.737991455477
"82",0.137672437074406
"83",0.000296202358738519
"84",12190.4299235903
"85",837.357909337152
"86",0.0294648959702012
"87",0.000106848794926191
"88",18442.6633869298
"89",425.157664623111
"90",0.0749491230064643
"91",0.000230083794300444
"92",26133.2336976193
"93",511.920423828997
"94",0.165928337513587
"95",0.000167616624991642
"96",35870.5364065245
"97",165.829478250816
"98",0.174759710411587
"99",0.000214729293312412
"100",58765.522625763
"101",444.905838137493
"102",0.0840211762161627
"103",0.000216556250978028
"104",40856.797657907
"105",635.382885718718
"106",0.0315137052588876
"107",0.000355837474591099
"108",59321.9328420237
"109",52.971784316469
"110",0.257031248937918
"111",0.000244016284806421
"112",34315.9362087026
"113",261.584037565626
"114",0.1066110763498
"115",0.000272701153791277
"116",30176.1979507282
"117",494.271569000557
"118",0.181383117391285
"119",3.55587567214388e-05
"120",8101.88190545887
"121",389.067179569975
"122",0.2391278001801
"123",0.000198190294360975
"124",30314.5866463892
"125",963.589944900014
"126",0.154271745287676
"127",0.00014942669345648
"128",43718.8027412631
"129",82.6049523078837
"130",0.247237199008329
"131",0.000100134707107209
"132",19931.0118067078
"133",255.530330468901
"134",0.291278548903095
"135",0.000364274224538822
"136",18172.9518142529
"137",736.497389606666
"138",0.0603561277773767
"139",0.000212329721207498
"140",18386.975497473
"141",719.21078923624
"142",0.0983402878884989
"143",0.000309370476693148
"144",45922.8630177677
"145",685.030052741058
"146",0.175489619415194
"147",0.000199658270624932
"148",14195.5208131112
"149",168.917150178459
"150",0.188326613630199
"151",0.000296923435388599
"152",29601.5939838253
"153",306.703637551982
"154",0.237333955358935
"155",0.000249193055669311
"156",11667.3056487925
"157",170.74256176129
"158",0.192907827122904
"159",0.000235640713890316
"160",34139.1202798113
"161",989.494170376565
"162",0.0479804930446936
"163",0.000163360869972967
"164",44560.0811066106
"165",869.13823413197
"166",0.246107850661175
"167",0.000357360969162546
"168",16079.4145627879
"169",262.525403825566
"170",0.0331282127359551
"171",0.000296538138074102
"172",22486.3574062474
"173",108.237927604932
"174",0.191781439634712
"175",7.69947410654277e-05
"176",24464.2157941125
"177",630.667180090677
"178",0.0167726166275536
"179",0.000280010568910511
"180",23292.1522711404
"181",201.64366227109
"182",0.253370534087756
"183",0.000138088593741413
"184",47542.8684507497
"185",257.320061593782
"186",0.232207524790049
"187",8.06187467137352e-05
"188",56465.2564236894
"189",532.382354920264
"190",0.151021184440713
"191",9.17418623052072e-05
"192",36831.6833758727
"193",456.877973070368
"194",0.180606499432096
"195",0.000267134975339286
"196",10916.4207656868
"197",802.381885622162
"198",0.239921312755359
"199",0.000282385735046118
"200",29129.5576184057
"201",237.46651270194
"202",0.270234375359249
"203",0.000317885510068154
"204",18821.7207128182
"205",175.915891071782
"206",0.0552704724429418
"207",0.000234514005309902
"208",10522.185514681
"209",307.355817849748
"210",0.2649536171121
"211",0.000216018397011794
"212",34007.9685444944
"213",90.186303993687
