parameter,value,valuemin,valuemax,pft.start,pft.end,org.start,org.end
fates_fire_drying_ratio,40,1000,60000,1,1,0,0
fates_fire_threshold,50,10,100,1,1,0,0
fates_fire_part_dens,0,100,1000,1,1,0,0
fates_fire_cg_strikes,0,0.99,1,1,1,0,0
fates_fire_durat_slope,-11.06,-20,-5,1,1,0,0
fates_fire_fdi_alpha,0.00185,0.00037,0.0037,1,1,0,0
