Sample_ID,Date,Location,Species,Gasex_typeOrSequence,Duplicate_flag,Chem_type,Sample_disc_size,Disc_area_cm2,Num_discs,Leaf_area_cm2,FW_g,DW_g,H20_pc,LMA_gDW_m2,SLA_cm2_g,Canopy_position,,,,,
BNL11104,2016-03-14,PA-PNM,LUEHSE,Diurnal 1,1,CHN,10,1.539,3,4.618,0.119,0.0669,43.78,144.86,69.03,sunlit,,,,,
BNL11116,2016-03-14,PA-PNM,ANTITR,Diurnal 1,1,CHN,15,3.431,2,6.861,0.145,0.0715,50.69,104.21,95.96,sunlit,,,,,
BNL10991,2016-03-14,PA-PNM,ANACEX,Diurnal 1,1,CHN,15,3.431,2,6.861,0.171,0.0680,60.23,99.11,100.90,sunlit,,,,,
BNL11141,2016-03-14,PA-PNM,ANACEX,Diurnal 1,1,CHN,15,3.431,2,6.861,0.198,0.0716,63.84,104.35,95.83,sunlit,,,,,
BNL11004,2016-03-14,PA-PNM,ANTITR,Diurnal 2,1,CHN,15,3.431,2,6.861,0.139,0.0714,48.63,104.06,96.10,sunlit,,,,,
BNL11062,2016-03-14,PA-PNM,CAL2CA,Diurnal 2,1,CHN,10,1.539,4,6.158,0.158,0.0569,63.98,92.42,108.20,sunlit,,,,,
BNL11064,2016-03-14,PA-PNM,FICUIN,Diurnal 2,1,CHN,15,3.431,2,6.861,0.236,0.0731,69.03,106.54,93.86,sunlit,,,,,
BNL11090,2016-03-14,PA-PNM,ALBIAD,Diurnal 2,1,CHN,7,0.801,9,7.211,0.116,0.0696,40.02,96.50,103.63,sunlit,,,,,
BNL11093,2016-03-14,PA-PNM,ANTITR,Diurnal 2,1,CHN,15,3.431,2,6.861,0.171,0.0911,46.72,132.79,75.31,sunlit,,,,,
BNL11099,2016-03-14,PA-PNM,CASTEL,Diurnal 2,1,CHN,15,3.431,2,6.861,0.167,0.0703,57.89,102.50,97.56,sunlit,,,,,
BNL11100,2016-03-14,PA-PNM,LUEHSE,Diurnal 2,1,CHN,15,3.431,2,6.861,0.188,0.1079,42.62,157.23,63.60,sunlit,,,,,
BNL11101,2016-03-14,PA-PNM,CORDAL,Diurnal 2,1,CHN,15,3.431,2,6.861,0.132,0.0771,41.61,112.32,89.03,sunlit,,,,,
BNL11102,2016-03-14,PA-PNM,CORDAL,Diurnal 2,1,CHN,10,1.539,4,6.158,0.119,0.0621,47.82,100.85,99.15,sunlit,,,,,
BNL11103,2016-03-14,PA-PNM,ANACEX,Diurnal 2,1,CHN,15,3.431,2,6.861,0.168,0.0746,55.58,108.77,91.94,sunlit,,,,,
BNL11118,2016-03-14,PA-PNM,CAL2CA,Diurnal 2,1,CHN,10,1.539,5,7.697,0.166,0.0811,51.14,105.37,94.91,sunlit,,,,,
