Sample_ID,Date,Location,Species,Gasex_typeOrSequence,Duplicate_flag,Chem_type,Sample_disc_size,Disc_area_cm2,Num_discs,Leaf_area_cm2,FW_g,DW_g,H20_pc,LMA_gDW_m2,SLA_cm2_g,Canopy_position,,,,,
BNL11502,2016-03-15,PA-PNM,LUEHSE,ACi,1,CHN,15,3.431,3,10.292,0.262,0.1400,46.56,136.03,73.51,sunlit,,,,,
BNL11503,2016-03-15,PA-PNM,FICUIN,ACi,1,CHN,15,3.431,3,10.292,0.350,0.1196,65.83,116.21,86.05,sunlit,,,,,
BNL11504,2016-03-15,PA-PNM,FICUIN,ACi,1,CHN,15,3.431,3,10.292,0.330,0.1088,67.03,105.71,94.60,sunlit,,,,,
BNL11505,2016-03-15,PA-PNM,FICUIN,ACi,1,CHN,15,3.431,3,10.292,0.347,0.1107,68.10,107.56,92.97,sunlit,,,,,
BNL11506,2016-03-15,PA-PNM,CAL2CA,ACi,1,CHN,15,3.431,2,6.861,0.155,0.0556,64.13,81.03,123.41,sunlit,,,,,
BNL11507,2016-03-15,PA-PNM,FICUIN,ACi,1,CHN,15,3.431,3,10.292,0.315,0.1185,62.38,115.14,86.85,sunlit,,,,,
BNL11508,2016-03-15,PA-PNM,CAL2CA,ACi,1,CHN,15,3.431,3,10.292,0.173,0.0842,51.33,81.81,122.23,sunlit,,,,,
BNL11603,2016-04-21,PA-SLZ,VOCHFE,ACi,1,CHN,7,0.801,4,3.205,0.089,0.0394,55.73,122.94,81.34,sunlit,,,,,
BNL11604,2016-04-21,PA-SLZ,VOCHFE,ACi,1,CHN,7,0.801,4,3.205,0.122,0.0364,70.16,113.58,88.04,sunlit,,,,,
BNL11601,2016-04-21,PA-SLZ,MICOBO,ACi,1,CHN,7,0.801,5,4.006,0.105,0.0512,51.24,127.81,78.24,sunlit,,,,,
BNL11602,2016-04-21,PA-SLZ,GUATDU,ACi,1,CHN,7,0.801,4,3.205,0.068,0.0244,64.12,76.14,131.34,sunlit,,,,,
BNL11757,2016-04-21,PA-SLZ,MICOBO,ACi,1,CHN,12,2.130,2,4.259,0.085,0.0438,48.47,102.84,97.24,sunlit,,,,,
BNL11758,2016-04-21,PA-SLZ,GUATDU,ACi,1,CHN,9,1.247,5,6.234,0.119,0.0550,53.78,88.22,113.35,sunlit,,,,,
BNL11759,2016-04-21,PA-SLZ,VOCHFE,ACi,1,CHN,9,1.247,4,4.988,0.137,0.0558,59.27,111.88,89.38,sunlit,,,,,
BNL11760,2016-04-21,PA-SLZ,VOCHFE,ACi,1,CHN,9,1.247,4,4.988,0.175,0.0615,64.86,123.31,81.10,sunlit,,,,,
BNL11813,2016-04-21,PA-SLZ,MICOBO,ACi,1,CHN,9,1.247,8,9.975,0.242,0.1179,51.28,118.19,84.61,sunlit,,,,,
BNL11815,2016-04-21,PA-SLZ,MICOBO,ACi,1,CHN,10,1.539,6,9.236,0.196,0.0933,52.40,101.01,99.00,sunlit,,,,,
BNL11705,2016-04-21,PA-SLZ,GUATDU,Diurnal 1,1,CHN,8,1.018,4,4.071,0.070,0.0337,51.86,82.78,120.80,sunlit,,,,,
BNL11717,2016-04-21,PA-SLZ,TACHVE,Diurnal 1,1,CHN,8,1.018,5,5.089,0.089,0.0492,44.72,96.69,103.43,sunlit,,,,,
BNL11709,2016-04-21,PA-SLZ,CARAGU,Diurnal 1,1,CHN,12,2.130,2,4.259,0.122,0.0641,47.46,150.50,66.45,sunlit,,,,,
BNL11719,2016-04-21,PA-SLZ,TOCOPI,Diurnal 1,1,CHN,15,3.431,4,13.723,0.372,0.1474,60.38,107.41,93.10,sunlit,,,,,
BNL11707,2016-04-21,PA-SLZ,TERMAM,Diurnal 1,1,CHN,8,1.018,3,3.053,0.088,0.0451,48.75,147.72,67.70,sunlit,,,,,
BNL11711,2016-04-21,PA-SLZ,MICOBO,Diurnal 1,1,CHN,8,1.018,4,4.071,0.088,0.0444,49.55,109.07,91.69,sunlit,,,,,
BNL11713,2016-04-21,PA-SLZ,VIROSP,Diurnal 1,1,CHN,8,1.018,4,4.071,0.124,0.0591,52.34,145.18,68.88,sunlit,,,,,
BNL11710,2016-04-21,PA-SLZ,CARAGU,Diurnal 1,1,CHN,8,1.018,5,5.089,0.163,0.0876,46.26,172.15,58.09,sunlit,,,,,
BNL11714,2016-04-21,PA-SLZ,VIROSP,Diurnal 1,1,CHN,6,0.714,4,2.855,0.108,0.0460,57.41,161.11,62.07,sunlit,,,,,
BNL11720,2016-04-21,PA-SLZ,TOCOPI,Diurnal 1,1,CHN,15,3.431,4,13.723,0.316,0.1136,64.05,82.78,120.80,sunlit,,,,,
BNL11715,2016-04-21,PA-SLZ,VOCHFE,Diurnal 1,1,CHN,8,1.018,3,3.053,0.087,0.0309,64.48,101.21,98.81,sunlit,,,,,
BNL11706,2016-04-21,PA-SLZ,GUATDU,Diurnal 1,1,CHN,8,1.018,3,3.053,0.048,0.0251,47.71,82.21,121.64,sunlit,,,,,
BNL11708,2016-04-21,PA-SLZ,TERMAM,Diurnal 1,1,CHN,8,1.018,3,3.053,0.089,0.0417,53.15,136.58,73.22,sunlit,,,,,
BNL11718,2016-04-21,PA-SLZ,TACHVE,Diurnal 1,1,CHN,8,1.018,4,4.071,0.071,0.0419,40.99,102.93,97.16,sunlit,,,,,
BNL11716,2016-04-21,PA-SLZ,VOCHFE,Diurnal 1,1,CHN,6,0.714,4,2.855,0.085,0.0352,58.59,123.28,81.11,sunlit,,,,,
BNL11712,2016-04-21,PA-SLZ,MICOBO,Diurnal 1,1,CHN,8,1.018,5,5.089,0.123,0.0560,54.47,110.05,90.87,sunlit,,,,,
BNL11701,2016-04-21,PA-SLZ,MICOBO,Diurnal 2,1,CHN,12,2.130,4,8.518,0.202,0.0918,54.55,107.77,92.79,sunlit,,,,,
BNL11742,2016-04-21,PA-SLZ,TACHVE,Diurnal 2,1,CHN,8,1.018,7,7.124,0.113,0.0656,41.95,92.08,108.60,sunlit,,,,,
BNL11745,2016-04-21,PA-SLZ,CARAGU,Diurnal 2,1,CHN,12,2.130,3,6.389,0.194,0.0820,57.73,128.35,77.91,sunlit,,,,,
BNL11752,2016-04-21,PA-SLZ,TOCOPI,Diurnal 2,1,CHN,15,3.431,4,13.723,0.317,0.1180,62.78,85.99,116.29,sunlit,,,,,
BNL11739,2016-04-21,PA-SLZ,GUATDU,Diurnal 2,1,CHN,8,1.018,3,3.053,0.052,0.0258,50.38,84.50,118.34,sunlit,,,,,
BNL11740,2016-04-21,PA-SLZ,GUATDU,Diurnal 2,1,CHN,8,1.018,3,3.053,0.069,0.0249,63.91,81.55,122.62,sunlit,,,,,
BNL11702,2016-04-21,PA-SLZ,MICOBO,Diurnal 2,1,CHN,10,1.539,6,9.236,0.209,0.0978,53.21,105.89,94.44,sunlit,,,,,
BNL11741,2016-04-21,PA-SLZ,TACHVE,Diurnal 2,1,CHN,9,1.247,6,7.481,0.243,0.1156,52.43,154.52,64.72,sunlit,,,,,
BNL11743,2016-04-21,PA-SLZ,VOCHFE,Diurnal 2,1,CHN,8,1.018,6,6.106,0.206,0.0806,60.87,131.99,75.76,sunlit,,,,,
BNL11744,2016-04-21,PA-SLZ,VOCHFE,Diurnal 2,1,CHN,12,2.130,6,12.778,0.204,0.0929,54.46,72.70,137.54,sunlit,,,,,
BNL11746,2016-04-21,PA-SLZ,CARAGU,Diurnal 2,1,CHN,12,2.130,6,12.778,0.400,0.1545,61.38,120.91,82.70,sunlit,,,,,
BNL11747,2016-04-21,PA-SLZ,VIROSP,Diurnal 2,1,CHN,12,2.130,4,8.518,0.293,0.1345,54.10,157.89,63.33,sunlit,,,,,
BNL11748,2016-04-21,PA-SLZ,VIROSP,Diurnal 2,1,CHN,9,1.247,8,9.975,0.367,0.1744,52.48,174.83,57.20,sunlit,,,,,
BNL11749,2016-04-21,PA-SLZ,TERMAM,Diurnal 2,1,CHN,10,1.539,4,6.158,0.172,0.0869,49.48,141.13,70.86,sunlit,,,,,
BNL11750,2016-04-21,PA-SLZ,TERMAM,Diurnal 2,1,CHN,6,0.714,5,3.569,0.095,0.0540,43.16,151.30,66.09,sunlit,,,,,
BNL11751,2016-04-21,PA-SLZ,TOCOPI,Diurnal 2,1,CHN,15,3.431,6,20.584,0.423,0.1646,61.09,79.96,125.06,sunlit,,,,,
BNL11545,2016-04-21,PA-SLZ,CARAGU,Diurnal 3,1,CHN,13,2.474,5,12.372,0.385,0.1997,48.13,161.41,61.96,sunlit,,,,,
BNL11546,2016-04-21,PA-SLZ,CARAGU,Diurnal 3,1,CHN,13,2.474,6,14.847,0.476,0.2360,50.42,158.95,62.91,sunlit,,,,,
BNL11801,2016-04-21,PA-SLZ,TACHVE,Diurnal 3,1,CHN,9,1.247,7,8.728,0.144,0.0786,45.42,90.05,111.05,sunlit,,,,,
BNL11802,2016-04-21,PA-SLZ,TACHVE,Diurnal 3,1,CHN,9,1.247,6,7.481,0.129,0.0705,45.35,94.23,106.12,sunlit,,,,,
BNL11803,2016-04-21,PA-SLZ,VOCHFE,Diurnal 3,1,CHN,9,1.247,6,7.481,0.233,0.0935,59.87,124.98,80.01,sunlit,,,,,
BNL11804,2016-04-21,PA-SLZ,VOCHFE,Diurnal 3,1,CHN,8,1.018,6,6.106,0.200,0.0837,58.15,137.07,72.95,sunlit,,,,,
BNL11805,2016-04-21,PA-SLZ,VIROSP,Diurnal 3,1,CHN,8,1.018,7,7.124,0.256,0.1165,54.49,163.53,61.15,sunlit,,,,,
BNL11806,2016-04-21,PA-SLZ,VIROSP,Diurnal 3,1,CHN,10,1.539,8,12.315,0.407,0.1818,55.33,147.62,67.74,sunlit,,,,,
BNL11807,2016-04-21,PA-SLZ,MICOBO,Diurnal 3,1,CHN,12,2.130,7,14.907,0.268,0.1320,50.75,88.55,112.93,sunlit,,,,,
BNL11808,2016-04-21,PA-SLZ,MICOBO,Diurnal 3,1,CHN,10,1.539,7,10.776,0.196,0.0993,49.34,92.15,108.52,sunlit,,,,,
BNL11809,2016-04-21,PA-SLZ,GUATDU,Diurnal 3,1,CHN,10,1.539,6,9.236,0.175,0.0838,52.11,90.73,110.22,sunlit,,,,,
BNL11810,2016-04-21,PA-SLZ,GUATDU,Diurnal 3,1,CHN,9,1.247,6,7.481,0.141,0.0703,50.14,93.97,106.42,sunlit,,,,,
BNL12203,2016-04-21,PA-SLZ,TOCOPI,Diurnal 3,1,CHN,15,3.431,6,20.584,0.499,0.1761,64.71,85.55,116.89,sunlit,,,,,
BNL12204,2016-04-21,PA-SLZ,TOCOPI,Diurnal 3,1,CHN,15,3.431,5,17.153,0.407,0.1432,64.82,83.48,119.79,sunlit,,,,,
BNL12205,2016-04-21,PA-SLZ,TERMAM,Diurnal 3,1,CHN,8,1.018,5,5.089,0.119,0.0631,46.97,124.00,80.64,sunlit,,,,,
BNL12206,2016-04-21,PA-SLZ,TERMAM,Diurnal 3,1,CHN,9,1.247,5,6.234,0.176,0.0913,48.13,146.44,68.29,sunlit,,,,,
BNL11726,2016-04-21,PA-SLZ,VOCHFE,Diurnal 4,1,CHN,7,0.801,4,3.205,0.105,0.0427,59.33,133.24,75.05,sunlit,,,,,
BNL11724,2016-04-21,PA-SLZ,TACHVE,Diurnal 4,1,CHN,7,0.801,4,3.205,0.049,0.0255,47.96,79.57,125.68,sunlit,,,,,
BNL11731,2016-04-21,PA-SLZ,GUATDU,Diurnal 4,1,CHN,7,0.801,4,3.205,0.052,0.0279,46.35,87.06,114.87,sunlit,,,,,
BNL11728,2016-04-21,PA-SLZ,VIROSP,Diurnal 4,1,CHN,7,0.801,4,3.205,0.107,0.0459,57.10,143.23,69.82,sunlit,,,,,
BNL11737,2016-04-21,PA-SLZ,TERMAM,Diurnal 4,1,CHN,7,0.801,3,2.404,0.084,0.0366,56.43,152.27,65.67,sunlit,,,,,
BNL11729,2016-04-21,PA-SLZ,MICOBO,Diurnal 4,1,CHN,12,2.130,3,6.389,0.134,0.0536,60.00,83.90,119.19,sunlit,,,,,
BNL11732,2016-04-21,PA-SLZ,GUATDU,Diurnal 4,1,CHN,7,0.801,4,3.205,0.072,0.0284,60.56,88.62,112.84,sunlit,,,,,
BNL11721,2016-04-21,PA-SLZ,CARAGU,Diurnal 4,1,CHN,15,3.431,4,13.723,0.428,0.1695,60.40,123.52,80.96,sunlit,,,,,
BNL11722,2016-04-21,PA-SLZ,CARAGU,Diurnal 4,1,CHN,12,2.130,4,8.518,0.247,0.1195,51.62,140.28,71.28,sunlit,,,,,
BNL11723,2016-04-21,PA-SLZ,TACHVE,Diurnal 4,1,CHN,10,1.539,9,13.854,0.272,0.1478,45.66,106.68,93.74,sunlit,,,,,
BNL11725,2016-04-21,PA-SLZ,VOCHFE,Diurnal 4,1,CHN,10,1.539,4,6.158,0.192,0.0783,59.22,127.16,78.64,sunlit,,,,,
BNL11727,2016-04-21,PA-SLZ,VIROSP,Diurnal 4,1,CHN,8,1.018,8,8.142,0.293,0.1288,56.04,158.20,63.21,sunlit,,,,,
BNL11730,2016-04-21,PA-SLZ,MICOBO,Diurnal 4,1,CHN,12,2.130,5,10.648,0.182,0.0940,48.35,88.28,113.28,sunlit,,,,,
BNL11735,2016-04-21,PA-SLZ,TOCOPI,Diurnal 4,1,CHN,15,3.431,4,13.723,0.320,0.1225,61.72,89.27,112.02,sunlit,,,,,
BNL11736,2016-04-21,PA-SLZ,TOCOPI,Diurnal 4,1,CHN,15,3.431,4,13.723,0.323,0.1246,61.42,90.80,110.13,sunlit,,,,,
BNL11738,2016-04-21,PA-SLZ,TERMAM,Diurnal 4,1,CHN,12,2.130,4,8.518,0.218,0.0946,56.61,111.05,90.05,sunlit,,,,,
BNL11791,2016-04-21,PA-SLZ,CARAGU,Diurnal 5,1,CHN,11,1.843,5,9.213,0.318,0.1479,53.49,160.54,62.29,sunlit,,,,,
BNL11812,2016-04-21,PA-SLZ,VOCHFE,Diurnal 5,1,CHN,7,0.801,4,3.205,0.104,0.0335,67.79,104.53,95.66,sunlit,,,,,
BNL11535,2016-04-21,PA-SLZ,VIROSP,Diurnal 5,1,CHN,7,0.801,2,1.602,0.054,0.0190,64.81,118.57,84.34,sunlit,,,,,
BNL11799,2016-04-21,PA-SLZ,TACHVE,Diurnal 5,1,CHN,7,0.801,6,4.807,0.072,0.0396,45.00,82.38,121.39,sunlit,,,,,
BNL12202,2016-04-21,PA-SLZ,TERMAM,Diurnal 5,1,CHN,7,0.801,4,3.205,0.089,0.0390,56.18,121.69,82.17,sunlit,,,,,
BNL11811,2016-04-21,PA-SLZ,MICOBO,Diurnal 5,1,CHN,7,0.801,6,4.807,0.086,0.0428,50.23,89.03,112.32,sunlit,,,,,
BNL11794,2016-04-21,PA-SLZ,TOCOPI,Diurnal 5,1,CHN,15,3.431,5,17.153,0.404,0.1560,61.39,90.94,109.96,sunlit,,,,,
BNL11792,2016-04-21,PA-SLZ,CARAGU,Diurnal 5,1,CHN,11,1.843,4,7.370,0.246,0.1144,53.50,155.22,64.42,sunlit,,,,,
BNL11798,2016-04-21,PA-SLZ,TACHVE,Diurnal 5,1,CHN,7,0.801,5,4.006,0.069,0.0433,37.25,108.09,92.52,sunlit,,,,,
BNL11793,2016-04-21,PA-SLZ,TOCOPI,Diurnal 5,1,CHN,15,3.431,5,17.153,0.477,0.1699,64.38,99.05,100.96,sunlit,,,,,
BNL11795,2016-04-21,PA-SLZ,TERMAM,Diurnal 5,1,CHN,7,0.801,3,2.404,0.050,0.0273,45.40,113.58,88.04,sunlit,,,,,
BNL11534,2016-04-21,PA-SLZ,MICOBO,Diurnal 5,1,CHN,7,0.801,5,4.006,0.089,0.0429,51.80,107.09,93.38,sunlit,,,,,
BNL11797,2016-04-21,PA-SLZ,GUATDU,Diurnal 5,1,CHN,7,0.801,4,3.205,0.051,0.0258,49.41,80.51,124.21,sunlit,,,,,
BNL11518,2016-04-21,PA-SLZ,VIROSP,Diurnal 5,1,CHN,7,0.801,2,1.602,0.052,0.0200,61.54,124.82,80.12,sunlit,,,,,
BNL11520,2016-04-21,PA-SLZ,VOCHFE,Diurnal 5,1,CHN,7,0.801,5,4.006,0.141,0.0410,70.92,102.35,97.71,sunlit,,,,,
BNL11796,2016-04-21,PA-SLZ,GUATDU,Diurnal 5,1,CHN,7,0.801,6,4.807,0.106,0.0479,54.81,99.64,100.36,sunlit,,,,,
BNL11516,2016-04-21,PA-SLZ,TERMAM,Diurnal 6,1,CHN,7,0.801,4,3.205,0.105,0.0485,53.81,151.34,66.08,sunlit,,,,,
BNL11513,2016-04-21,PA-SLZ,TOCOPI,Diurnal 6,1,CHN,15,3.431,6,20.584,0.462,0.1712,62.94,83.17,120.23,sunlit,,,,,
BNL11511,2016-04-21,PA-SLZ,TACHVE,Diurnal 6,1,CHN,7,0.801,6,4.807,0.072,0.0404,43.89,84.04,118.99,sunlit,,,,,
BNL11510,2016-04-21,PA-SLZ,MICOBO,Diurnal 6,1,CHN,7,0.801,5,4.006,0.086,0.0363,57.79,90.62,110.36,sunlit,,,,,
BNL11512,2016-04-21,PA-SLZ,TACHVE,Diurnal 6,1,CHN,7,0.801,5,4.006,0.088,0.0413,53.07,103.10,97.00,sunlit,,,,,
BNL11703,2016-04-21,PA-SLZ,TOCOPI,Diurnal 6,1,CHN,15,3.431,5,17.153,0.407,0.1447,64.45,84.36,118.55,sunlit,,,,,
BNL11549,2016-04-21,PA-SLZ,MICOBO,Diurnal 6,1,CHN,7,0.801,5,4.006,0.070,0.0377,46.14,94.11,106.26,sunlit,,,,,
BNL11533,2016-04-21,PA-SLZ,CARAGU,Diurnal 6,1,CHN,11,1.843,4,7.372,0.232,0.1169,49.61,158.57,63.06,sunlit,,,,,
BNL11517,2016-04-21,PA-SLZ,TERMAM,Diurnal 6,1,CHN,7,0.801,3,2.404,0.071,0.0353,50.28,146.87,68.09,sunlit,,,,,
BNL11514,2016-04-21,PA-SLZ,CARAGU,Diurnal 6,1,CHN,7,0.801,5,4.006,0.122,0.0629,48.44,157.02,63.69,sunlit,,,,,
BNL11509,2016-04-21,PA-SLZ,VOCHFE,Diurnal 6,1,CHN,7,0.801,7,5.608,0.179,0.0650,63.69,115.90,86.28,sunlit,,,,,
BNL11515,2016-04-21,PA-SLZ,VOCHFE,Diurnal 6,1,CHN,7,0.801,6,4.807,0.161,0.0635,60.56,132.10,75.70,sunlit,,,,,
BNL11547,2016-04-21,PA-SLZ,GUATDU,Diurnal 6,1,CHN,7,0.801,7,5.608,0.105,0.0491,53.24,87.55,114.22,sunlit,,,,,
BNL11548,2016-04-21,PA-SLZ,GUATDU,Diurnal 6,1,CHN,7,0.801,6,4.807,0.091,0.0415,54.40,86.33,115.83,sunlit,,,,,
BNL11550,2016-04-21,PA-SLZ,VIROSP,Diurnal 6,1,CHN,7,0.801,5,4.006,0.142,0.0585,58.80,146.03,68.48,sunlit,,,,,
BNL11800,2016-04-21,PA-SLZ,VIROSP,Diurnal 6,1,CHN,7,0.801,5,4.006,0.142,0.0515,63.73,128.56,77.78,sunlit,,,,,
BNL11613,2016-04-21,PA-SLZ,VIROSP,Diurnal 7,1,CHN,7,0.801,6,4.807,0.161,0.0720,55.28,149.78,66.77,sunlit,,,,,
BNL11615,2016-04-21,PA-SLZ,GUATDU,Diurnal 7,1,CHN,7,0.801,6,4.807,0.088,0.0385,56.25,80.09,124.86,sunlit,,,,,
BNL11632,2016-04-21,PA-SLZ,TOCOPI,Diurnal 7,1,CHN,15,3.431,6,20.584,0.492,0.1635,66.77,79.43,125.90,sunlit,,,,,
BNL11616,2016-04-21,PA-SLZ,GUATDU,Diurnal 7,1,CHN,7,0.801,4,3.205,0.054,0.0253,53.15,78.95,126.67,sunlit,,,,,
BNL11617,2016-04-21,PA-SLZ,CARAGU,Diurnal 7,1,CHN,10,1.539,4,6.158,0.212,0.1024,51.70,166.30,60.13,sunlit,,,,,
BNL11614,2016-04-21,PA-SLZ,MICOBO,Diurnal 7,1,CHN,7,0.801,5,4.006,0.088,0.0440,50.00,109.84,91.04,sunlit,,,,,
BNL11612,2016-04-21,PA-SLZ,MICOBO,Diurnal 7,1,CHN,7,0.801,6,4.807,0.090,0.0477,47.00,99.23,100.78,sunlit,,,,,
BNL11618,2016-04-21,PA-SLZ,CARAGU,Diurnal 7,1,CHN,10,1.539,5,7.697,0.248,0.1213,51.09,157.60,63.45,sunlit,,,,,
BNL11611,2016-04-21,PA-SLZ,VIROSP,Diurnal 7,1,CHN,7,0.801,5,4.006,0.143,0.0661,53.78,165.01,60.60,sunlit,,,,,
BNL11609,2016-04-21,PA-SLZ,VOCHFE,Diurnal 7,1,CHN,7,0.801,5,4.006,0.124,0.0413,66.69,103.10,97.00,sunlit,,,,,
BNL11610,2016-04-21,PA-SLZ,VOCHFE,Diurnal 7,1,CHN,7,0.801,5,4.006,0.124,0.0421,66.05,105.09,95.15,sunlit,,,,,
BNL11631,2016-04-21,PA-SLZ,TOCOPI,Diurnal 7,1,CHN,15,3.431,5,17.153,0.406,0.1402,65.47,81.73,122.35,sunlit,,,,,
BNL11605,2016-04-21,PA-SLZ,TERMAM,Diurnal 7,1,CHN,7,0.801,3,2.404,0.068,0.0318,53.24,132.30,75.58,sunlit,,,,,
BNL11607,2016-04-21,PA-SLZ,TACHVE,Diurnal 7,1,CHN,7,0.801,6,4.807,0.086,0.0453,47.33,94.24,106.12,sunlit,,,,,
BNL11608,2016-04-21,PA-SLZ,TACHVE,Diurnal 7,1,CHN,7,0.801,8,6.409,0.093,0.0456,50.97,71.14,140.56,sunlit,,,,,
BNL11606,2016-04-21,PA-SLZ,TERMAM,Diurnal 7,1,CHN,7,0.801,6,4.807,0.106,0.0497,53.11,103.39,96.72,sunlit,,,,,
BNL11628,2016-04-21,PA-SLZ,VIROSP,Diurnal 8,1,CHN,7,0.801,5,4.006,0.141,0.0586,58.44,146.28,68.36,sunlit,,,,,
BNL11619,2016-04-21,PA-SLZ,TERMAM,Diurnal 8,1,CHN,7,0.801,3,2.404,0.071,0.0324,54.37,134.80,74.18,sunlit,,,,,
BNL11634,2016-04-21,PA-SLZ,GUATDU,Diurnal 8,1,CHN,7,0.801,5,4.006,0.071,0.0363,48.87,90.62,110.36,sunlit,,,,,
BNL11783,2016-04-21,PA-SLZ,TACHVE,Diurnal 8,1,CHN,7,0.801,6,4.807,0.091,0.0506,44.40,105.26,95.00,sunlit,,,,,
BNL11784,2016-04-21,PA-SLZ,TACHVE,Diurnal 8,1,CHN,7,0.801,4,3.205,0.053,0.0284,46.42,88.62,112.84,sunlit,,,,,
BNL11623,2016-04-21,PA-SLZ,CARAGU,Diurnal 8,1,CHN,10,1.539,4,6.158,0.214,0.1025,52.10,166.46,60.07,sunlit,,,,,
BNL11621,2016-04-21,PA-SLZ,TOCOPI,Diurnal 8,1,CHN,15,3.431,6,20.584,0.429,0.1430,66.67,69.47,143.95,sunlit,,,,,
BNL11630,2016-04-21,PA-SLZ,MICOBO,Diurnal 8,1,CHN,7,0.801,5,4.006,0.072,0.0356,50.56,88.87,112.53,sunlit,,,,,
BNL11624,2016-04-21,PA-SLZ,CARAGU,Diurnal 8,1,CHN,10,1.539,4,6.158,0.207,0.0932,54.98,151.36,66.07,sunlit,,,,,
BNL11622,2016-04-21,PA-SLZ,TOCOPI,Diurnal 8,1,CHN,15,3.431,5,17.153,0.424,0.1588,62.55,92.58,108.02,sunlit,,,,,
BNL11629,2016-04-21,PA-SLZ,MICOBO,Diurnal 8,1,CHN,7,0.801,7,5.608,0.124,0.0532,57.10,94.86,105.42,sunlit,,,,,
BNL11625,2016-04-21,PA-SLZ,VOCHFE,Diurnal 8,1,CHN,7,0.801,5,4.006,0.124,0.0394,68.23,98.35,101.67,sunlit,,,,,
BNL11633,2016-04-21,PA-SLZ,GUATDU,Diurnal 8,1,CHN,7,0.801,5,4.006,0.090,0.0350,61.11,87.37,114.45,sunlit,,,,,
BNL11627,2016-04-21,PA-SLZ,VIROSP,Diurnal 8,1,CHN,7,0.801,5,4.006,0.143,0.0657,54.06,164.01,60.97,sunlit,,,,,
BNL11620,2016-04-21,PA-SLZ,TERMAM,Diurnal 8,1,CHN,7,0.801,3,2.404,0.052,0.0270,48.08,112.33,89.02,sunlit,,,,,
BNL11626,2016-04-21,PA-SLZ,VOCHFE,Diurnal 8,1,CHN,7,0.801,4,3.205,0.090,0.0347,61.44,108.28,92.36,sunlit,,,,,
BNL11521,2016-04-22,PA-SLZ,TOCOPI,ACi,1,CHN,15,3.431,6,20.584,0.400,0.1509,62.28,73.31,136.41,sunlit,,,,,
BNL11538,2016-04-22,PA-SLZ,TOCOPI,ACi,1,CHN,15,3.431,6,20.584,0.389,0.1411,63.73,68.55,145.88,sunlit,,,,,
BNL11539,2016-04-22,PA-SLZ,TACHVE,ACi,1,CHN,10,1.539,6,9.236,0.188,0.0975,48.14,105.56,94.73,sunlit,,,,,
BNL11540,2016-04-22,PA-SLZ,TOCOPI,ACi,1,CHN,15,3.431,6,20.584,0.462,0.1705,63.10,82.83,120.73,sunlit,,,,,
BNL11541,2016-04-22,PA-SLZ,CECRIN,ACi,1,CHN,15,3.431,6,20.584,0.610,0.2232,63.41,108.43,92.22,sunlit,,,,,
BNL11542,2016-04-22,PA-SLZ,CECRIN,ACi,1,CHN,15,3.431,6,20.584,0.513,0.2125,58.58,103.23,96.87,sunlit,,,,,
BNL11543,2016-04-22,PA-SLZ,TOCOPI,ACi,1,CHN,15,3.431,6,20.584,0.465,0.1885,59.46,91.58,109.20,sunlit,,,,,
BNL11635,2016-04-22,PA-SLZ,VIROSP,ACi,1,CHN,10,1.539,4,6.158,0.217,0.1051,51.57,170.69,58.59,sunlit,,,,,
BNL11636,2016-04-22,PA-SLZ,TERMAM,ACi,1,CHN,10,1.539,6,9.236,0.199,0.0943,52.61,102.10,97.95,sunlit,,,,,
BNL11637,2016-04-22,PA-SLZ,CECRIN,ACi,1,CHN,15,3.431,6,20.584,0.578,0.2348,59.38,114.07,87.67,sunlit,,,,,
BNL11638,2016-04-22,PA-SLZ,TACHVE,ACi,1,CHN,10,1.539,6,9.236,0.180,0.1000,44.44,108.27,92.36,sunlit,,,,,
BNL11639,2016-04-22,PA-SLZ,TACHVE,ACi,1,CHN,10,1.539,6,9.236,0.160,0.0956,40.25,103.50,96.61,sunlit,,,,,
BNL11640,2016-04-22,PA-SLZ,TERMAM,ACi,1,CHN,10,1.539,6,9.236,0.176,0.0936,46.82,101.34,98.68,sunlit,,,,,
BNL11641,2016-04-22,PA-SLZ,GUATDU,ACi,1,CHN,10,1.539,5,7.697,0.137,0.0546,60.15,70.94,140.97,sunlit,,,,,
BNL11642,2016-04-22,PA-SLZ,TACHVE,ACi,1,CHN,10,1.539,6,9.236,0.193,0.0946,50.98,102.42,97.64,sunlit,,,,,
BNL11643,2016-04-22,PA-SLZ,TERMAM,ACi,1,CHN,10,1.539,5,7.697,0.174,0.0832,52.18,108.10,92.51,sunlit,,,,,
BNL11644,2016-04-22,PA-SLZ,VOCHFE,ACi,1,CHN,7,0.801,6,4.807,0.141,0.0623,55.82,129.60,77.16,sunlit,,,,,
BNL11645,2016-04-22,PA-SLZ,GUATDU,ACi,1,CHN,10,1.539,5,7.697,0.152,0.0810,46.71,105.24,95.02,sunlit,,,,,
BNL11647,2016-04-22,PA-SLZ,TERMAM,ACi,1,CHN,10,1.539,4,6.158,0.150,0.0691,53.93,112.22,89.11,sunlit,,,,,
BNL11649,2016-04-22,PA-SLZ,MICOBO,ACi,1,CHN,10,1.539,6,9.236,0.205,0.0984,52.00,106.54,93.86,sunlit,,,,,
BNL11655,2016-04-22,PA-SLZ,TERMAM,ACi,1,CHN,10,1.539,4,6.158,0.112,0.0536,52.14,87.05,114.88,sunlit,,,,,
